,0,1,2,3,4,5
2155-6105,1116.99,,,,,
2155-9880,,,1415.0,,,
2156-8456,1090.02,,,,,
1726-4170,1308.142093023256,1451.1860975609754,1556.913472222222,1788.9136363636364,1805.488048780488,1874.8786538461538
1810-6285,1215.767857142857,1211.8225,1305.0,1544.395,,
1814-9359,1284.0420000000001,1099.73,900.0,,,
1913-9063,,325.395,,,275.94,
2141-243X,,,,,,
1949-2553,2483.9534177215182,2588.0820388349516,2908.8893125000004,3105.8521250000003,3309.87875,2883.2
2045-7634,1779.782,1777.3587499999999,1446.8133333333335,1745.805,1769.1485714285714,1741.3028571428572
1687-5443,1379.4399999999998,1480.8011764705882,1903.6466666666668,1903.1100000000001,1988.385,1493.59
0962-9351,1671.8512500000002,1821.5172727272727,1895.1945454545455,2050.818,1758.51125,1565.6925000000003
1015-8987,1676.2833333333335,2179.8125,2455.3711111111106,2310.9100000000003,1749.375,1790.88
1476-072X,1663.4833333333336,1673.1766666666665,1741.872857142857,1863.58,,
1477-7827,1554.44,1821.6225,1661.24,1725.1,,
1756-9966,1476.49,1638.5466666666664,1775.7849999999999,1785.0,1660.05,2717.06
1757-1146,1608.29,,,2121.45,1661.24,
1179-7258,1012.32,1796.5016666666663,1651.2616666666665,1519.9466666666667,1537.7800000000002,
1177-8881,1647.71,981.6,1972.672,1920.155,1901.62,1841.18
0001-5555,1413.125,757.4,1339.5466666666669,1212.7083333333333,1593.71875,1509.1
1990-2573,440.0,560.0,1424.085,,1436.3366666666668,1456.8466666666666
1660-4601,1444.546875,1478.81125,1482.243269230769,1267.0323076923078,1376.3477697841727,1810.2622834645667
1654-9880,1411.422,1570.91,1633.6361538461538,1320.5966666666666,1748.4739999999997,1536.59
2161-105X,,,,,,
1680-7316,1375.0340322580646,1712.7324390243903,1716.7357051282052,1691.1612837837838,1587.8999166666667,1734.0107142857144
1812-0822,931.85,,,,,
2046-1682,,1396.0,,1396.0,,
1471-2172,1661.6,1678.604,1682.1799999999998,1546.1899999999998,1661.24,
1687-8434,,1694.93,1423.3366666666668,1766.15,,
1687-7101,694.76,,,,,
2190-4715,871.492,715.785,799.0066666666667,968.6036363636363,1618.8490909090908,1910.5983333333331
2328-5001,,,,,,
2152-2197,1085.76,,,,,
2220-9964,154.43,662.782142857143,777.1564285714285,652.2858823529414,708.3511111111112,866.564
0276-4741,536.16,475.06,,854.25,928.0779999999999,
1949-4998,1180.402,939.35,1196.7833333333333,,,
1996-1944,1314.1157142857141,1293.6096428571432,1349.6017307692312,1210.8511,1279.4865359477124,1653.9759166666668
2073-445X,,259.935,305.76,457.3725,619.6338095238095,1058.1695000000002
2056-3485,1987.58,2010.2,1461.5566666666666,1847.1375,1712.1525,1747.631666666667
2215-017X,,1352.94,1431.675,1647.5466666666664,1242.0,1767.54
2227-7102,,271.905,321.5,,574.2786666666667,788.125
2311-2638,,570.365,844.21375,1135.0633333333333,1203.69,1203.69
2235-767X,267.75,,,,,
1812-2116,1310.7211764705883,1003.7066666666666,1714.0,,,
2150-8925,1425.8063636363636,1181.8641666666667,1265.2904,1302.4646666666665,1327.0675,1326.9433333333334
2352-3409,683.2157142857142,385.2150000000001,466.87627906976746,478.40289473684214,505.4085,518.9821428571428
1694-2116,138.71499999999997,,193.03,261.9,237.4229411764706,446.94
1948-6596,223.85,,,,,
2056-9890,169.97875,186.86714285714285,223.38043478260866,242.38299999999998,280.3530769230769,364.39
1925-0746,311.0,,,,,
2051-3933,1853.56,1512.2633333333335,1800.0,1628.1266666666668,1605.5833333333333,1728.2279999999998
1680-7375,1271.139333333333,1137.9685714285713,1622.0585714285714,2220.5499999999997,,
2191-1991,884.1949999999999,986.848,855.6716666666667,1133.118,1485.02,1653.81
1999-4907,890.8227777777779,864.4986666666666,980.8236666666667,975.4529268292681,1319.3779629629626,1454.1473333333336
1996-0832,,,,,,
2164-5167,,,,,450.0,
1913-9004,,,333.07,,,
1314-4049,,,442.5,1877.714,577.5833333333334,932.9300000000001
2278-098X,,,,,,
1945-4589,2532.11,2393.7699999999995,2725.079,2976.2975,3197.0325000000003,2719.618
0144-8463,955.5630000000001,1072.9859999999999,846.932,1155.5859999999998,1337.8949999999998,1342.8899999999999
1991-637X,,,300.0,511.2,,506.48
2151-4755,915.0,839.1266666666667,,856.77,952.68,
2227-9040,,,,,,947.6633333333333
2047-7538,3425.0600000000004,3389.045384615385,3346.471111111111,3096.72,2851.895,2338.75
1600-5368,149.58,,,,,
1943-0647,1201.9466666666667,1344.22,1082.1042857142857,1137.7325,1417.8383333333334,1472.795
1687-6075,185.0,,,,,
1687-7195,,,,,1120.17,
1687-9104,,851.64,771.65,,,
2090-5122,,,,,,
1687-7357,174.99,,,,1008.14,
2090-3502,,,,,,
1559-4106,,,,,,
1687-1472,906.2283333333334,1011.6033333333334,1127.8600000000001,1277.8700000000001,1338.22,1172.616
1749-8104,2002.618333333333,2010.3333333333333,1734.0975,1926.06,,
2192-0567,775.26,812.3333333333334,834.4733333333334,853.1557142857143,1025.69,1237.75
2192-113X,528.0,,720.1233333333333,698.78,818.72,
2159-3930,1251.879,2044.81,1391.9293333333335,1860.9753846153844,1645.9152380952378,1523.2866666666666
1999-4893,,189.37,557.0,416.98,794.4777777777776,942.3774999999999
1999-5903,,,536.7049999999999,391.515,595.3916666666668,909.12
1424-8247,,627.19,565.8,601.36,729.5433333333334,1159.3057142857144
2155-9821,1632.43,,,,,
2153-1196,,1127.3274999999999,1101.24,,,
2151-481X,,,751.06,,,
2090-4657,,,,,,
1868-6648,,,,,,
1452-3981,500.0,761.345,500.0,,563.3333333333334,
1748-9326,1681.2476923076924,1719.4950000000003,1594.0275,1829.7396428571428,1827.2140625,1912.6135714285717
1467-4866,691.2633333333333,,,,996.1,
1743-8977,1527.2640000000001,1879.8080000000002,1687.033333333333,1765.15,1868.18,2917.7966666666666
2195-9706,1904.0,,,,1015.6266666666666,1050.01125
2046-1402,793.1583333333333,899.118,697.3321428571429,684.2204761904761,837.3236363636363,921.5941666666664
2077-0472,,,441.54200000000003,462.55625,569.5162499999999,1077.8292857142858
2073-4360,940.44,1206.3525,1186.7848,1134.5674468085108,1131.678,1487.1235555555554
0280-6509,1242.3681818181817,1620.6,1818.6666666666667,1418.6666666666667,1626.2440000000001,1280.0
2192-4880,,,,,,
2198-9281,,,,,,
2160-3308,1639.5583333333332,1938.93,2422.9896875,2916.1474999999996,2653.64,3241.8971428571426
1479-5868,2168.2495833333332,1801.79125,2025.8704,2149.0154545454543,2209.552857142857,2013.76
1687-2762,346.61,,,,,
1744-8603,1999.8375,1774.034,1669.0376923076922,1650.9872727272727,1690.5999999999997,1927.0
1752-4458,,1773.35,1396.0,1593.9599999999998,,
2041-9139,1953.77,1670.08,1876.8020000000001,2152.022,2090.895,
1472-698X,1476.705,1854.38,1369.12,1986.1066666666666,1396.0,
1753-2000,1393.5639999999999,1561.6757142857143,1672.5880000000002,1661.7333333333333,1698.75,1894.48
2197-4314,922.24,,,1040.83,,
2348-9804,,611.12,,,,
2296-2565,1915.8975,1105.5566666666664,1616.589,1217.8025000000002,1730.2528,1982.6809999999998
2163-9434,,,,,,
0161-1712,634.05,,,,,
1868-596X,1986.3428571428572,1987.8644444444444,2218.52,2004.6375,1951.2,2093.32
1471-2199,1588.4474999999998,1654.745,1432.82,1661.24,,
2050-7283,1661.695714285714,1695.5457142857142,1677.8516666666667,1592.6699999999998,1483.7783333333334,1170.57
2072-6643,1263.0355555555554,1393.744,1333.8563636363635,1329.884705882353,1494.8935922330095,1745.3044827586207
2213-1582,1357.345,1458.714,1547.671842105263,1705.9002173913047,1880.407,2164.9100000000003
1687-1839,561.68,,,986.5450000000001,1436.9250000000002,
0887-0446,1397.3,654.56,,,,
2072-6651,1223.4119999999998,1312.03,1311.2199999999998,1112.298076923077,1281.169333333333,1716.4778571428571
2334-2536,1223.1675,1404.8285,2108.4723529411763,2494.7505263157896,2728.0958333333333,2647.1400000000003
2164-2850,1445.93,,336.815,351.95,,723.53
1465-9921,1881.6866666666665,2023.1559999999997,1919.286,1972.5437499999998,2156.577142857143,2128.475
1471-2253,1645.09,1670.0227272727273,1822.6625,1657.7780000000005,1763.7557142857145,1771.0733333333335
1472-6807,1468.725,1601.12,1584.46,,1923.31,
1475-2840,2057.55,1827.392857142857,1779.0059999999999,2017.9685714285715,1861.3333333333333,2905.0733333333333
1476-069X,1601.75,1505.0319999999997,1590.4983333333337,1616.937777777778,1763.58,
1477-9560,,1379.21,1661.24,1289.09,,1894.48
1710-1484,1661.24,1563.6799999999998,1548.9333333333334,1661.24,,1846.72
1749-7922,1456.58,,1661.24,,,2000.0
1752-2897,1316.95,1579.64,,,,
